OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,High_level_taxonomy,HL_hit_percent_id,HL_hit_query_cover
FOTU,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,unidentified,"Fungi-CCHF45,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Cucurbitariaceae,g__Pyrenochaetopsis,s__Pyrenochaetopsis_tabarestanensis",87.831,85
FOTU_2,Fungi,Basidiomycota,Atractiellomycetes,Atractiellales,Hoehnelomycetaceae,Atractiella,Atractiella rhizophila ,unidentified,0,0
FOTU_3,Fungi,Ascomycota,Dothideomycetes,Cladosporiales,Cladosporiaceae,Cladosporium,Cladosporium cladosporioides ,"Fungi-ZANF35,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Cladosporiaceae,g__Cladosporium",100,100
FOTU_4,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,unidentified,"Fungi-CCHF67,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium",100,100
FOTU_5,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,"Fungi-ZANF50,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Nectriaceae,g__Fusarium",100,100
FOTU_6,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Codinaea,unidentified,"Fungi-ZANF68,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Pseudothielavia,s__Pseudothielavia_arxii",76.889,100
FOTU_7,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,unidentified,unidentified,"Fungi-CCHF44,p__Ascomycota,c__Sordariomycetes,o__Hypocreales,f__Bionectriaceae,g__Clonostachys,s__Clonostachys_rosea",80.973,100
FOTU_8,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Paraphoma,Paraphoma radicina ,unidentified,0,0
FOTU_9,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,"Fungi-CCHF49C,p__Ascomycota,c__Eurotiomycetes,o__Eurotiales,f__Aspergillaceae,g__Talaromyces,s__Talaromyces_domesticus",98.198,100
FOTU0,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerellaceae,Plectosphaerella,unidentified,"Fungi-CCHF41,p__Ascomycota,c__Sordariomycetes,o__Glomerellales,f__Plectosphaerellaceae,g__Plectosphaerella",94.196,100
FOTU1,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Setophoma,Setophoma terrestris ,"Fungi-ZANF81,p__Ascomycota,c__Dothideomycetes,o__Pleosporales",88.021,85
